Player,Age,Tm,Pos,MP,PTS
Richaun Holmes\holmeri01,26,SAC,C,1087,484
Rodney Hood\hoodro01,27,POR,SF,619,230
Al Horford\horfoal01,33,PHI,C,1543,601
Talen Horton-Tucker\hortota01,19,LAL,SG,5,0
Danuel House\houseda01,26,HOU,SF,1487,509
Dwight Howard\howardw01,34,LAL,C,1049,414
William Howard\howarwi01,26,HOU,SG,13,0
Kevin Huerter\huertke01,21,ATL,SG,1364,552
De'Andre Hunter\huntede01,22,ATL,SF,1674,647
Chandler Hutchison\hutchch01,23,CHI,SF,527,218
Serge Ibaka\ibakase01,30,TOR,C,1197,710
Andre Iguodala\iguodan01,36,MIA,SG,63,13
Ersan Ä°lyasova\ilyaser01,32,MIL,PF,810,371
Joe Ingles\inglejo01,32,UTA,SF,1628,542
Brandon Ingram\ingrabr01,22,NOP,PF,1601,1169
Kyrie Irving\irvinky01,27,BRK,PG,658,548
Jonathan Isaac\isaacjo01,22,ORL,SF,949,384
Wesley Iwundu\iwundwe01,25,ORL,SF,749,210
Frank Jackson\jacksfr01,21,NOP,PG,581,259
Jaren Jackson\jacksja02,20,MEM,C,1463,891
Josh Jackson\jacksjo02,22,MEM,SG,123,42
Justin Jackson\jacksju01,24,DAL,PF,788,285
Reggie Jackson\jacksre01,29,DET,PG,381,209
Justin James\jamesju01,23,SAC,SG,216,85
LeBron James\jamesle01,35,LAL,PG,1779,1274
Amile Jefferson\jeffeam01,26,ORL,PF,74,15
DaQuan Jeffries\jeffrda01,22,SAC,SG,19,7
Ty Jerome\jeromty01,22,PHO,PG,247,84
Alize Johnson\johnsal02,23,IND,SF,46,18
B.J. Johnson\johnsbj01,24,ORL,SF,46,13
Cameron Johnson\johnsca02,23,PHO,PF,832,325
James Johnson\johnsja01,32,TOT,PF,361,130
Keldon Johnson\johnske04,20,SAS,SF,12,4
Stanley Johnson\johnsst04,23,TOR,PF,84,21
Tyler Johnson\johnsty01,27,PHO,SG,515,178
Nikola JokiÄ‡\jokicni01,24,DEN,C,1789,1135
Damian Jones\jonesda03,24,ATL,C,850,300
Derrick Jones\jonesde02,22,MIA,SF,988,348
Tyus Jones\jonesty01,23,MEM,PG,1018,374
DeAndre Jordan\jordade01,31,BRK,C,958,364
Cory Joseph\josepco01,28,SAC,PG,1338,345
Mfiondu Kabengele\kabenmf01,22,LAC,C,64,42
Frank Kaminsky\kaminfr01,26,PHO,C,718,352
Enes Kanter\kanteen01,27,BOS,C,783,385
Luke Kennard\kennalu01,23,DET,SG,922,442
Stanton Kidd\kiddst01,27,UTA,SF,15,0
Michael Kidd-Gilchrist\kiddgmi01,26,CHO,PF,160,48
Louis King\kinglo02,20,DET,SF,62,20
Maxi Kleber\klebima01,28,DAL,C,1347,483
Brandon Knight\knighbr03,28,TOT,PG,254,82
Kevin Knox\knoxke01,20,NYK,SF,988,365
John Konchar\konchjo01,23,MEM,SG,34,7
Furkan Korkmaz\korkmfu01,22,PHI,SG,1151,516
Luke Kornet\kornelu01,24,CHI,C,544,210
Kyle Korver\korveky01,38,MIL,SF,782,301
Rodions Kurucs\kurucro01,21,BRK,PF,424,153
Kyle Kuzma\kuzmaky01,24,LAL,PF,1086,553
Skal LabissiÃ¨re\labissk01,23,POR,C,567,190
Jeremy Lamb\lambje01,27,IND,SG,1261,566
Romeo Langford\langfro01,20,BOS,SG,184,54
Zach LaVine\lavinza01,24,CHI,SG,1898,1392
Vic Law\lawvi01,24,ORL,SF,4,0
Jake Layman\laymaja01,25,MIN,PF,369,147
T.J. Leaf\leaftj01,22,IND,PF,180,67
Jalen Lecque\lecquja01,19,PHO,PG,26,10
Courtney Lee\leeco01,34,DAL,SG,142,57
Damion Lee\leeda03,27,GSW,SG,1090,468
Alex Len\lenal01,26,ATL,C,745,349
Kawhi Leonard\leonaka01,28,LAC,SF,1364,1141
Meyers Leonard\leoname01,27,MIA,C,987,300
Caris LeVert\leverca01,25,BRK,SG,763,427
Damian Lillard\lillada01,29,POR,PG,1996,1594
Nassir Little\littlna01,19,POR,PF,496,149
Kevon Looney\looneke01,23,GSW,C,176,43
Brook Lopez\lopezbr01,31,MIL,C,1391,552
Robin Lopez\lopezro01,31,MIL,C,684,259
Kevin Love\loveke01,31,CLE,PF,1439,812
Kyle Lowry\lowryky01,33,TOR,PG,1569,844
TimothÃ© Luwawu-Cabarrot\luwawti01,24,BRK,SG,423,146
Trey Lyles\lylestr01,24,SAS,PF,993,291
Daryl Macon\maconda01,24,MIA,SG,14,3
J.P. Macura\macurjp01,24,CLE,SG,1,0
Josh Magette\magetjo01,30,ORL,PG,38,12
Ian Mahinmi\mahinia01,33,WAS,C,725,261
Thon Maker\makerth01,22,DET,C,662,243
Terance Mann\mannte01,23,LAC,SG,270,56
Boban MarjanoviÄ‡\marjabo01,31,DAL,C,255,162
Lauri Markkanen\markkla01,22,CHI,PF,1395,690
Caleb Martin\martica02,24,CHO,SF,99,22
Cody Martin\martico01,24,CHO,SF,591,166
Jeremiah Martin\martije02,23,BRK,PG,11,2
Kelan Martin\martike03,24,MIN,SF,370,130
Frank Mason\masonfr01,25,MIL,PG,18,5
Garrison Mathews\mathega01,23,WAS,SG,202,93
Wesley Matthews\matthwe02,33,MIL,SG,1253,383
Patrick McCaw\mccawpa01,24,TOR,SF,747,153
CJ McCollum\mccolcj01,28,POR,SG,1856,1107
T.J. McConnell\mccontj01,27,IND,PG,1016,363
Jalen McDaniels\mcdanja01,22,CHO,PF,65,27
Doug McDermott\mcderdo01,28,IND,PF,1134,572
JaVale McGee\mcgeeja01,32,LAL,C,858,364
Rodney McGruder\mcgruro01,28,LAC,SG,707,145
Alfonzo McKinnie\mckinal01,27,CLE,SF,531,158
Jordan McLaughlin\mclaujo01,23,MIN,PG,362,127
Ben McLemore\mclembe01,26,HOU,SG,1276,551
Jordan McRae\mcraejo01,28,TOT,SG,679,379
NicolÃ_ Melli\mellini01,29,NOP,C,681,263
De'Anthony Melton\meltode01,21,MEM,PG,755,326
Chimezie Metu\metuch01,22,SAS,PF,64,38
Khris Middleton\middlkh01,28,MIL,SF,1389,961
Eric Mika\mikaer01,25,SAC,PF,19,6
C.J. Miles\milescj01,32,WAS,SG,161,64
Malcolm Miller\millema01,26,TOR,SF,117,20
Patty Mills\millspa02,31,SAS,PG,1245,633
Paul Millsap\millspa01,34,DEN,PF,855,424
Shake Milton\miltosh01,23,PHI,SG,328,138
Donovan Mitchell\mitchdo01,23,UTA,SG,1825,1288
Naz Mitrou-Long\mitrona01,26,IND,SG,43,14
Adam Mokoka\mokokad01,21,CHI,SG,22,15
Malik Monk\monkma01,21,CHO,SG,1086,516
Matt Mooney\moonema01,22,CLE,SG,5,2
E'Twaun Moore\mooreet01,30,NOP,SG,841,400
Ja Morant\moranja01,20,MEM,PG,1435,846
Juwan Morgan\morgaju01,22,UTA,PF,53,15
Marcus Morris\morrima03,30,TOT,SF-PF,1486,874
Markieff Morris\morrima02,30,DET,PF,988,486
Monte Morris\morrimo01,24,DEN,PG,1163,467
Johnathan Motley\motlejo01,24,LAC,PF,41,28
Emmanuel Mudiay\mudiaem01,23,UTA,PG,724,327
Dejounte Murray\murrade01,23,SAS,PG,1228,518
Jamal Murray\murraja01,22,DEN,PG,1455,849
DÅ_anan Musa\musadz01,20,BRK,SF,404,148
Mike Muscala\muscami01,28,OKC,C,463,176
Sviatoslav Mykhailiuk\mykhasv01,22,DET,SF,1037,418
Abdel Nader\naderab01,26,OKC,SF,589,223
Larry Nance\nancela02,27,CLE,C,1128,427
Shabazz Napier\napiesh01,28,TOT,PG,934,387
Raul Neto\netora01,27,PHI,PG,480,172
Malik Newman\newmama01,22,CLE,SG,4,2
Georges Niang\niangge01,26,UTA,PF,652,281
Nerlens Noel\noelne01,25,OKC,C,859,361
Zach Norvell\norveza01,22,TOT,SG,41,10
Jaylen Nowell\nowelja01,20,MIN,SG,102,40
Frank Ntilikina\ntilila01,21,NYK,PG,1009,282
Kendrick Nunn\nunnke01,24,MIA,SG,1532,782
David Nwaba\nwabada01,27,BRK,SF,268,104
Royce O'Neale\onealro01,26,UTA,PF,1579,318
Kyle O'Quinn\oquinky01,29,PHI,C,221,76
Semi Ojeleye\ojelese01,25,BOS,PF,762,154
Jahlil Okafor\okafoja01,24,NOP,C,420,214
Elie Okobo\okoboel01,22,PHO,PG,608,190
Josh Okogie\okogijo01,21,MIN,SG,1246,440
KZ Okpala\okpalkz01,20,MIA,SF,26,7
Victor Oladipo\oladivi01,27,IND,SG,175,78
Kelly Olynyk\olynyke01,28,MIA,C,934,362
Miye Oni\onimi01,22,UTA,SG,8,0
Cedi Osman\osmande01,24,CLE,SF,1560,582
Kelly Oubre\oubreke01,24,PHO,SF,1825,1003
Tariq Owens\owensta01,24,PHO,PF,15,4
Jeremy Pargo\pargoje01,33,GSW,PG,44,25
Jabari Parker\parkeja01,24,ATL,PF,837,480
Chandler Parsons\parsoch01,31,ATL,SF,54,14
Eric Paschall\pascher01,23,GSW,PF,1334,662
AnÅ_ejs PaseÄçÅ†iks\pasecan01,24,WAS,C,370,139
Patrick Patterson\pattepa01,30,LAC,PF,578,219
Justin Patton\pattoju01,22,OKC,C,24,9
Chris Paul\paulch01,34,OKC,PG,1716,940
Elfrid Payton\paytoel01,25,NYK,PG,988,350
Gary Payton\paytoga02,27,WAS,PG,406,104
Norvel Pelle\pelleno01,26,PHI,C,164,40
Theo Pinson\pinsoth01,24,BRK,SG,342,118
Mason Plumlee\plumlma01,29,DEN,C,750,317
Vincent Poirier\poirivi01,26,BOS,C,108,35
Jakob PÃ¶ltl\poeltja01,24,SAS,C,922,292
Shamorie Ponds\pondssh01,21,TOR,PG,11,9
Jordan Poole\poolejo01,20,GSW,SG,1033,376
Kevin Porter\porteke02,19,CLE,SF,952,411
Michael Porter\portemi01,21,DEN,PF,556,311
Otto Porter\porteot01,26,CHI,SF,226,101
Bobby Portis\portibo01,24,NYK,C,1142,519
Kristaps PorziÅ†Ä£is\porzikr01,24,DAL,PF,1283,774
Dwight Powell\poweldw01,28,DAL,C,1061,376
Norman Powell\powelno01,26,TOR,SG,1072,581
Julius Randle\randlju01,25,NYK,PF,1741,1023
Josh Reaves\reavejo02,22,DAL,SG,1,0
Cam Reddish\reddica01,20,ATL,SF,1247,446
J.J. Redick\redicjj01,35,NOP,SG,1359,784
Naz Reid\reidna01,20,MIN,C,216,140
Josh Richardson\richajo01,26,PHI,SG,1264,597
Austin Rivers\riverau01,27,HOU,SG,1181,424
Duncan Robinson\robindu01,25,MIA,SF,1573,681
Glenn Robinson\robingl02,26,TOT,SF,1541,635
Jerome Robinson\robinje01,22,TOT,SG,531,136
Justin Robinson\robinju01,22,WAS,PG,49,13
Mitchell Robinson\robinmi01,21,NYK,C,1154,468
Isaiah Roby\robyis01,21,OKC,SF,2,0
Rajon Rondo\rondora01,33,LAL,PG,797,295
Derrick Rose\rosede01,31,DET,PG,1180,817
Terrence Ross\rosste01,28,ORL,SG,1419,708
Terry Rozier\roziete01,25,CHO,PG,1814,945
Ricky Rubio\rubiori01,29,PHO,PG,1472,576
D'Angelo Russell\russeda01,23,TOT,PG,1127,827
Domantas Sabonis\sabondo01,23,IND,C,1799,949
JaKarr Sampson\sampsja02,26,IND,SF,248,76
Dario Å ariÄ‡\saricda01,25,PHO,PF,1189,462
TomÃ¡Å¡ SatoranskÃ_\satorto01,28,CHI,PG,1575,565
Admiral Schofield\schofad01,22,WAS,SF,292,83
Dennis SchrÃ¶der\schrode01,26,OKC,PG,1685,1042
Mike Scott\scottmi01,31,PHI,PF,947,303
Thabo Sefolosha\sefolth01,35,HOU,PF,409,90
Collin Sexton\sextoco01,21,CLE,SG,1737,1069
Landry Shamet\shamela01,22,LAC,SG,1111,403
Marial Shayok\shayoma01,24,PHI,SG,10,3
Iman Shumpert\shumpim01,29,BRK,SG,241,54
Pascal Siakam\siakapa01,25,TOR,PF,1538,1033
Chris Silva\silvach01,23,MIA,PF,289,113
Ben Simmons\simmobe01,23,PHI,PG,1926,897
Anfernee Simons\simonan01,20,POR,SG,1219,502
Alen SmailagiÄ‡\smailal01,19,GSW,PF,118,56
Marcus Smart\smartma01,25,BOS,SG,1358,539
Dennis Smith\smithde03,22,NYK,PG,465,156
Ish Smith\smithis01,31,WAS,PG,1400,571
Zhaire Smith\smithzh01,20,PHI,SG,32,8
Tony Snell\snellto01,28,DET,SF,1373,406
Omari Spellman\spellom01,22,GSW,PF,886,370
Max Strus\strusma01,23,CHI,SG,6,5
Edmond Sumner\sumneed01,24,IND,PG,268,86
Caleb Swanigan\swanica01,22,TOT,PF,199,40
Jayson Tatum\tatumja01,21,BOS,PF,1707,1121
Jeff Teague\teaguje01,31,TOT,PG,1251,544
Garrett Temple\templga01,33,BRK,SG,1353,489
Daniel Theis\theisda01,27,BOS,C,1100,400
Isaiah Thomas\thomais02,30,WAS,PG,925,488
Khyri Thomas\thomakh01,23,DET,SG,6,1
Matt Thomas\thomama02,25,TOR,SG,250,109
Tristan Thompson\thomptr01,28,CLE,C,1531,605
Matisse Thybulle\thybuma01,22,PHI,SG,953,231
Anthony Tolliver\tollian01,34,TOT,PF,636,138
Juan Toscano-Anderson\toscaju01,26,GSW,SF,47,12
